ID;font;en;zh-Hans;zh-Hant;th;es;de;ja;ko;Comment
V110_ME_NAME;7; You ; 我 ; 我 ;ฉัน;;;;;
V110_SHAREREWARD;7;Earn 30;获得%d;获得%d;ได้รับ;;;;;
V110_SHAREREWARD_ONE;7;Earn 30;分享;分享;แชร์;;;;;
V110_DAILYREWARD;7;Daily Reward;每日奖励;每日奖励;โบนัสประจำวัน;;;;;
V110_UNLIMITLIFE;7;Daily Reward;无限体力;无限体力;พลังไร้ขีดจำกัด;;;;;
V140_INVITE_TITLE;1;Daily Reward;邀请好友;邀请好友;เชิญเพื่อน;;;;;
V140_WXINVITEBTN;1;Daily Reward;邀请微信好友;邀请微信好友;เชิญเพื่อนในวีแชท;;;;;
V140_WXINVITELISTBTN;1;Daily Reward;查看已邀请好友;查看已邀请好友;ตรวจสอบเพื่อนที่ทำการเชิญแล้ว;;;;;
V140_INVITE_T;7;Daily Reward;邀请;邀请;คำเชิญ;;;;;
V140_ENTER_NAME;6;Daily Reward;请输入一个昵称;请输入一个昵称;กรอกชื่อ;;;;;
V140_(D)_INVITE;7;Daily Reward;%d位好友;%d位好友;%dเพื่อน;;;;;
V140_(D)_HOUR;6;Daily Reward;%d小时;%d小时;%dชั่วโมง;;;;;
V140_UNLIMITLIFE;2,6;Daily Reward;无限体力;无限体力;พลังไร้ขีดจำกัด;;;;;
V140_ISUSED;6;Daily Reward;已使用;已使用;ใช้แล้ว;;;;;
V140_BRANCH_PLAY;5;PLAY;挑战;挑战;เล่น;;;;;
V140_SKIP;5;Skip;跳过;跳过;ข้าม;;;;;
V140_ALLREADY_INVITE_(D);6;Daily Reward;已经成功邀请%d位好友;已经成功邀请%d位好友;ทำการขอเพื่อน%dคนแล้วสำเร็จแล้ว;;;;;
V140_INVITE_ONLYONETIME;7;Daily Reward;已送别人无限生命的好友不会出现在此列表中;已送别人无限生命的好友不会出现在此列表中;คุณได้ทำการส่งพลังงานไร้ขีดจำกัดให้เพื่อนแล้ว เพราะฉะนั้นจะไม่ปรากฏที่ตารางนี้อีก;;;;;
V100_LOADING;2;LOADING;读取中;读取中;กำลังโหลดข้อมูล;;;;;
V100_REFILLLIVES_UPGRADEINFO1;7;Permanently increases max lives to 8,;最大体力永久提升到8。;最大体力永久提升到8。;เพิ่มพลังชีวิตให้สูงสุด 8 ตัว;;;;;
V100_REFILLLIVES_UPGRADEINFO2;7;and refills 8 lives FOR FREE!;且免费填满8个体力！;且免费填满8个体力！;;;;;;
V100_TITLE_FREEGOLD;2;;领取免费金币;领取免费金币;รับเหรียญทองฟรี;;;;;
V100_FREEGOLD_INFO;6;;点击按钮领取免费金币！;点击按钮领取免费金币！;คลิ๊กที่นี่เพื่อรับเหรียญทองฟรี;;;;;
V100_BUY_FOR_(D);7;BUY FOR %d;花费 %d;花费 %d;ซื้อ%d;;;;;
V100_YOU_HAVE_X_LIVES;6;You have %d lives.;你有 %d 个体力;你有 %d 个体力;คุณมี %d ชีวิต;;;;;
V100_YOU_HAVE_1_LIFE;6;You have 1 life.;你有 1 个体力;你有 1 个体力;คุณมี1ชีวิต;;;;;
V100_+1_IN_(S);6;+1 in %s; %s 后加 1; %s 后加 1;%s หลังจากเพิ่ม1;;;;;
V100_REFILL_LIVES_TITLE;2;REFILL LIVES;填满体力;填满体力;เพิ่มชีวิต;;;;;
V100_BUY_FOR_(S)_(S);2;BUY FOR %s%s;花费 %s%s;花费 %s%s;ซื้อ%s%s;;;;;
V100_SUPPORT_ID;7;USER ID: %s;USER ID: %s;;ไอดีผู้ใช้%s;;;;;
V100_QUEST1;9;JELLY 1;解救伙伴 1;解救伙伴 1;ตัวช่วยที่ 1;;;;;
V100_QUEST2;9;JELLY 2;解救伙伴 2;解救伙伴 2;ตัวช่วยที่ 2;;;;;
V100_QUEST3;9;JELLY 3;解救伙伴 3;解救伙伴 3;ตัวช่วยที่ 3;;;;;
V100_QUEST_D;9;JELLY %d;解救伙伴 %d;解救伙伴 %d;ตัวช่วย %d;;;;;
V100_BUTTON_PLAY;1;PLAY;开始冒险;开始冒险;เริ่มผจญภัย;;;;;
V100_BUTTON_MORE;1;MORE;更多;更多;มากขึ้น;;;;;
V100_BUTTON_QUIT;1;QUIT;退出;退出;ออก;;;;;
V100_BUTTON_CANCEL;1;CANCEL;取消;取消;ยกเลิก;;;;;
V100_BUTTON_OK;1;OK;确定;确定;ยืนยัน;;;;;
V100_BUTTON_CONTACT_US;1;CONTACT US;联系我们;联系我们;ติดต่อพวกเรา;;;;;
V100_BUTTON_RESTORE;1;RESTORE;修改昵称;修改昵称;เรียกคืนรายการซื้อ;;;;;
V100_BUTTON_REFILL;1;REFILL;填满体力;填满体力;เพิ่มชีวิต;;;;;
V100_BUTTON_UPGRADE;1;UPGRADE;升级;升级;อัพเกรด;;;;;
V100_BUTTON_BUY;1;BUY;购买;购买;ซื้อ;;;;;
V100_BUTTON_RESUME;1;RESUME;返回;返回;ย้อนกลับ;;;;;
V100_BUTTON_CONTINUE;1;CONTINUE;继续;继续;ต่อไป;;;;;
V100_BUTTON_PLAY_ON;1;PLAY ON;继续玩;继续玩;เล่นต่อไป;;;;;
V100_SETTINGS;1;SETTINGS;设置;设置;ตั้งค่า;;;;;
V100_RESTORE_INFO;7;Have you made a purchase in the game that does not show up? Try restoring In-App purchases.;你购买过的商品不能用了吗？试试从苹果商店恢复你购买过的商品。;你购买过的商品不能用了吗？试试从苹果商店恢复你购买过的商品。;ไม่มีรายการสินค้าที่คุณซื้อไว้ ให้ทำการเรียกคืนที่ในแอพสโตร์ก่อน;;;;;
V100_RMB_SYMBLE;5;;￥;￥;หยวน;;;;;
V100_FACEBOOK_CONNECTED;7;Connect with Facebook to send gifts to friends.;FACEBOOK;FACEBOOK;เชื่อมต่อกับเฟสบุ๊ค\nเพื่อส่งของขวัญให้เพื่อน;;;;;
V100_FACEBOOK_DISCONNECTED;7;Tap to disconnect from your Facebook account.;断开连接;断开连接;ยกเลิกการเชื่อมต่อกับเฟสบุ๊ค;;;;;
V100_WEIXIN;7;;微信公众号：奇妙游戏;微信公众号：奇妙游戏;หมายเลขวีแชทคือ เจลลี่มาเนีย;;;;;
V100_(D)_MORE;6;%d%% MORE;多送 %d%%;多送 %d%%;เพิ่มให้%d%%;;;;;
V100_QUEST_(D)_(D);7;Jelly %d-%d;解救伙伴  %d-%d;解救伙伴  %d-%d;เจลลี่ %d-%d;;;;;
V100_LEVEL_(D);1;LEVEL %d;关卡 %d;关卡 %d;เลเวล%d;;;;;
V100_LEVEL_TARGET_CLASSIC;7;Rescue all your friends!;救出所有的果冻小伙伴！;救出所有的果冻小伙伴！;ช่วยเพื่อนเจลลี่ทั้งหลาย;;;;;
V100_NOT_ENOUGH_GOLD;2;NOT ENOUGH;不够了;不够了;มีไม่พอ;;;;;
V100_NOT_ENOUGH_GOLD_2;2,4;GOLD;金币;金币;เหรียญทอง;;;;;
V100_CONGRATULATIONS;1;REWARDS!;恭喜你！;恭喜你！;รางวัล;;;;;
V100_GET_GOLD;3;You Received:;你获得了：;你获得了：;คุณได้รับ;;;;;
V120_BUTTON_OK;1;OKAY;确定;确定;ยืนยัน;;;;;
V100_PLAY_QUEST_(D)_IN_(S);7;Play Jelly %d in %s;离解救伙伴%d还剩%s;离解救伙伴%d还剩%s;ใช้เจลลี่%dใน%s;;;;;
V100_PRIZE_PACKAGE;6;package x%d;金币大礼包 x%d;金币大礼包 x%d;ถุงโบนัสเหรียญทองx%d;;;;;
V100_TAP_TO_CONTINUE;7;TAP TO CONTINUE >>;点击继续>>;点击继续>>;คลิ๊กเพื่อไปต่อ;;;;;
V100_NEW_BOOST;2;NEW BOOST;新道具;新道具;ตัวช่วย;;;;;
V100_UNLOCKED;2;UNLOCKED!;解锁啦！;解锁啦！;ปลดล็อค;;;;;
V100_PAUSE;1;PAUSE;暂停;暂停;หยุดพักสักครู่;;;;;
V100_MUSIC;2;MUSIC;音乐;音乐;ดนตรี;;;;;
V100_SOUND;2;SOUND;音效;音效;เสียง;;;;;
V100_GOAL;2;GOAL;解救目标;解救目标;เป้าหมายการช่วยเหลือ;;;;;
V100_GOLD_DES;6;(%d gold);(%d个金币);(%d个金币);%dเหรียญทอง;;;;;
V100_BOOSTS;1;BOOSTS;道具;道具;ตัวช่วย;;;;;
V100_IAP_TITLE;1;GOLD SHOP;金币商店;金币商店;ร้านค้าเหรียญทอง;;;;;
V100_HANDBOOK_TITLE;1;Friends;小伙伴们;小伙伴们;เพื่อน;;;;;
V100_HANDBOOK_CHAPTER;6,7;Chapter %d;第 %d 章;第 %d 章;ด่านที่%d;;;;;
V100_HANDBOOK_CHAPTERUNLOCK;6,7;Complete chapter %d to unlock.;完成第%d章解锁;完成第%d章解锁;ผ่านด่าน%dเพื่อปลดล็อค;;;;;
V100_DO_YOU_WANT_TO_QUIT?;2;DO YOU WANT TO QUIT?;你确认退出吗？;你确认退出吗？;คุณยืนยันที่จะออกจากเกมหรือไม่;;;;;
V100_YOU_WILL_LOSE_1;6;You will lose 1 ;体力将会损失1个;体力将会损失1个;คุณจะเสีย 1 ชีวิต;;;;;
V100_NO_MORE_MOVES!;2;NO MORE MOVES!;步数用完了！;步数用完了！;คุณไม่สามารถไปต่อได้แล้ว;;;;;
V100_TITLE_RESTORE;2;RESTORE;恢复;恢复;เรียกคืนรายการซื้อ;;;;;
V100_TITLE_PURCHASES;2;PURCHASES;已购买的;已购买的;ซื้อ;;;;;
V100_LEVEL_FAILED...;2;LEVEL FAILED...;挑战失败...;挑战失败...;ไม่่ผ่านเลเวล;;;;;
V100_+1_IN;7;+1 in\n%s;%s\n后加1;%s\n后加1;%s;;;;;
V100_LAST_MISSION!;2;Final Mission!;最后的任务！;最后的任务！;ด่านสุดท้าย;;;;;
V100_HELP_3_MORE_FRIENDS;7;Rescue 3 jellies to unlock!;解救3个小伙伴后解锁！;解救3个小伙伴后解锁！;ช่วยเจลลี่ 3 ตัวเพื่อทำการปลดล็อค;;;;;
V100_HOW_TO_GO_TO_THE_NEXT_MAP:;6;How to unlock new chapter:;如何解锁下个章节：;如何解锁下个章节：;ทำอย่างไรถึงจะปลดล็อคด่านต่อไป;;;;;
V100_OR_GET_QUICK_HELP!;7;Or buy keys to rescue them now!;或购买钥匙立即解救小伙伴！;或购买钥匙立即解救小伙伴！;หรืออาจจะทำการซื้อกุญแจเพื่อทำการช่วยเพื่อนตัวน้อยทันที;;;;;
V100_WARNING_TITLE;1;WARNING;注意！;注意！;ระวัง;;;;;
V100_BOOSTER_0;2,6;Super Spoon;万能勺子;万能勺子;ซุปเปอร์ช้อน;;;;;
V100_BOOSTER_1;2,6;Cross Rainbow;十字彩虹;十字彩虹;แมวผู้หิวโซ;;;;;
V100_BOOSTER_2;2,6;Rainbow Sugar;七彩糖粉;七彩糖粉;น้ำตาลสายรุ้ง;;;;;
V100_BOOSTER_3;2,6;Mega Straw;超级吸管;超级吸管;ซุปเปอร์หลอด;;;;;
V100_BOOSTER_5;2,6;Happy Face;快乐笑脸;快乐笑脸;ยิ้มแฉ่ง;;;;;
V100_BOOSTER_4;2,6;Jelly Swap;快乐换换;快乐换换;สับเปลี่ยน;;;;;
V100_BOOSTER_6;2,6;+5 Moves;+5步;+5步;เคลื่อนที่ +5 ก้าว;;;;;
V100_BOOSTER_7;2,6;Cross Squares;十字消格子;十字消格子;ล้มทั้งแถว;;;;;
V100_BOOSTER_8;2,6;Bonus Squares;加分格子;加分格子;โบนัส +1;;;;;
V100_BOOSTER_9;2,6;Super Squares;万能格子;万能格子;พลังสูบ;;;;;
V100_BOOSTER_101;2,6;Gold;金币;金币;เหรียญทอง;;;;;
V100_BOOSTER_103;2,6;Unlimited Lives;无限体力;无限体力;ชีวิตไม่จำกัด;;;;;
V100_BOOSTER_102;2,6;Free Spin;再爽一把;再爽一把;หมุนอีกครั้ง;;;;;
V100_BOOSTER_104;2,6;Life;体力;体力;ชีวิต;;;;;
V100_BOOSTER_HARVEST1GRID_INFO;7;A magic spoon you can use to rescue jellies.;一把神奇的勺子，可以帮助你解救果冻。;一把神奇的勺子，可以帮助你解救果冻。;ช้อนวิเศษซึ่งคุณสามารถ\nใช้ช่วยเหลือเจลลี่ได้;;;;;
V100_BOOSTER_HARVEST1ROW_INFO;7;You can choose a square to activate a Cross Rainbow.;可以在你选择的格子上，立即触发一个十字彩虹消除。;可以在你选择的格子上，立即触发一个十字彩虹消除。;เจ้าแมววายร้ายมาแล้ว เจ้าตัวน้อยรีบวิ่งกันเร็ว;;;;;
V100_BOOSTER_+1_INFO;7;Will make the jelly sweeter, so you can harvest more!;可以让果冻们更甜，使获得的数量更多。;可以让果冻们更甜，使获得的数量更多。;ทำเจลลี่ให้หวานขึ้นเพื่อ\nเพิ่มปริมาณให้มากขึ้น;;;;;
V100_BOOSTER_HARVEST1TYPE_INFO;6,7;A very powerful straw that can suck up all jellies of the same color.;吸力超强的吸管，可把一种颜色的果冻都吸光。;吸力超强的吸管，可把一种颜色的果冻都吸光。;ซุปเปอร์หลอดมีพลังมาก  สามารถดูดเจลลี่สีเดียวกัน ให้หมดในครั้งเดียว;;;;;
V100_BOOSTER_CUREROT_INFO;7;Can make sad jellies happy again.;可以让悲伤的果冻们再次高兴起来。;可以让悲伤的果冻们再次高兴起来。;สามารถทำเจลลี่ที่เศร้าหมอง ให้กลับมามีชีวิตชีวาอีกครั้ง;;;;;
V100_BOOSTER_SHUFFLE_INFO;7;Swap the positions of any two jellies.;快乐换换可以交换任意2个果冻的位置。;快乐换换可以交换任意2个果冻的位置。;สลับตำแหน่งเจลลี่;;;;;
V100_BOOSTER_MOVE+5_INFO;7;Add an extra 5 moves.;增加额外的5步。;增加额外的5步。;เพิ่มการเลื่อนให้อีก 5 ครั้ง;;;;;
V100_BOOSTER_TCROSS_INFO;7;"The game starts with 3 ""cross"" squares. Once activated, they will let you rescue one row and one column of jellies.";开始游戏时获得3个十字消格子，生效后解救一行和一列的果冻;开始游戏时获得3个十字消格子，生效后解救一行和一列的果冻;เกมจะให้ช่อง3ช่อง ซึ่งช่องนี้จะทำให้คุณช่วยเจลลี่ ได้ทั้งในแนวตั้งและแนวนอน;;;;;
V100_BOOSTER_4MATCH_INFO;7;"The game starts with 4 ""bonus"" squares. Once activated, they will give a +1 bonus to one kind of jelly.";开始游戏时获得4个加分格子，生效后使一种果冻奖励+1;开始游戏时获得4个加分格子，生效后使一种果冻奖励+1;เกมจะให้โบนัส 4 ช่อง\nหากช่วยเจลลี่ใน 4 ช่องได้\nเจลลี่อื่นจะได้แต้มเพิ่มด้วย;;;;;
V100_BOOSTER_5LINE_INFO;7;"The game starts with 2 ""super"" squares. Once activated, they will let you rescue all jellies of a single color.";开始游戏时获得2个万能格子，生效后解救一种颜色的所有果冻;开始游戏时获得2个万能格子，生效后解救一种颜色的所有果冻;ตอนเริ่มเกมจะได้ 2 พลังสูบ สามารถใช้ช่วยเจลลี่ที่มีสีเดียวกันได้ทั้งหมด;;;;;
V100_COMING_SOON;2;Try playing the challenge levels available for each jelly.;去完成更多挑战关卡吧！;去完成更多挑战关卡吧！;ไปทำภารกิจอื่นๆที่ท้าทายกว่านี้กันเถอะ!;;;;;
V100_COMING_SOON1;2;Wow! You've completed every map! Try playing the challenge levels available for each jelly.;去完成更多挑战关卡吧！;去完成更多挑战关卡吧！;สุดยอด!คุณสำเร็จแผนการเดินทางทั้งหมดแล้ว ไปทำภารกิจอื่นๆที่ท้าทายกว่านี้กันเถอะ!;;;;;
V100_COMING_SOON2;2;Wow, you've completed all levels! New content coming very soon!;一大波精彩内容即将到来！;一大波精彩内容即将到来！;ความสนุกอีกมากมายกำลังจะตามมา!;;;;;
V100_TUT1_1;7;Help! Connect 3 blue jellies to rescue us!;救救我们啊！组合3个蓝色果冻来解救我们吧！;救救我们啊！组合3个蓝色果冻来解救我们吧！;ช่วยด้วย! เรียงเจลลี่สีฟ้า\nต่อกัน 3 ตัวเพื่อช่วยพวกเรา!;;;;;
V100_TUT1_2;7;Connect 3 blue jellies again to continue the rescue.;好样的！再次组合3个蓝色果冻来继续解救。;好样的！再次组合3个蓝色果冻来继续解救。;เยี่ยม! เรียงเจลลี่สีฟ้า\n3 ตัวอีกครั้งเพื่อช่วย\nพวกเราต่อไป;;;;;
V100_TUT1_3;7;Great! Just one more time and we'll be free. Move the blue jelly!;太好了！还差一次，我们就自由了，移动蓝色果冻吧！;太好了！还差一次，我们就自由了，移动蓝色果冻吧！;ดีมาก! อีกนิดเดียวเท่านั้น พวกเราก็จะเป็นอิสระแล้ว เคลื่อนที่เจลลี่สีฟ้าเร็ว!;;;;;
V100_TUT2_1;7;This time you need to collect 6 blue jellies and 6 yellow jellies to win.;这一次, 你需要解救 6 个蓝色果冻和 6 个黄色果冻来获得胜利。;这一次, 你需要解救 6 个蓝色果冻和 6 个黄色果冻来获得胜利。;คราวนี้ต้องทำการช่วยเจลลี่สีฟ้า 6 อันและเจลลี่สีเหลือง 6 อันเพื่อผ่านด่าน;;;;;
V100_TUT2_2;7;You must complete this rescue mission before you run out of moves.;在步数用完之前，您需要完成这次的解救任务。;在步数用完之前，您需要完成这次的解救任务。;คุณต้องทำภารกิจช่วยครั้งนี้ ให้สำเร็จก่อนที่จะหมด โอกาสในการเคลื่อนย้าย;;;;;
V100_TUT3_1;7;With GOLD you can buy more moves, lives and boosts.;金币可以让您购买更多的移动步数，生命，以及方便的道具。;金币可以让您购买更多的移动步数，生命，以及方便的道具。;เหรียญทองสามารถนำมา ใช้ซื้อตาเดินชีวิต และตัวช่วยอื่นๆเพิ่มเติม;;;;;
V100_TUT4_1;7;A magic spoon you can use to rescue jellies.;一把神奇的勺子，可以帮助你解救果冻。;一把神奇的勺子，可以帮助你解救果冻。;คุณสามารถใช้ซุปเปอร์ซ้อนช่วยเจลลี่ได้;;;;;
V100_TUT5_1;7;You can use the Super Spoon to rescue a jelly. Tap the Super Spoon.;万能勺子可以立即解救 1 个果冻，请点击。;万能勺子可以立即解救 1 个果冻，请点击。;คุณสามารถใช้ซุปเปอร์ช้อน\nช่วยเจลลี่ได้\nแตะเพื่อใช้ซุปเปอร์ช้อน;;;;;
V100_TUT5_2;7;Then tap a jelly to rescue it.;然后点击想解救的果冻。;然后点击想解救的果冻。;จากนั้นแตะที่เจลลี่\nเพื่อช่วยเหลือ;;;;;
V100_TUT6_1;7;Oh no, Tom! You better run, guys!;坏猫来啦！小伙伴们，快点跑啊！;坏猫来啦！小伙伴们，快点跑啊！;เจ้าแมวผู้หิวโซมาแล้ว เจ้าตัวน้อยรีบวิ่งกันเร็ว;;;;;
V100_TUT7_1;7;Now you can use Cross Rainbow, try it now.;现在可以使用十字彩虹消除道具了，立即点击它！;现在可以使用十字彩虹消除道具了，立即点击它！;เจ้าแมวผู้หิวโซจะทำให้\nเจลลี่ทั้งแถวตกใจกลัว\nแตะที่แมวผู้หิวโซ;;;;;
