ID;font;en;zh-Hans;zh-Hant;th;es;de;ja;ko;Comment
V100_TUT206_1;7;Oh no... my ice cream hat has melted. I hope it won't diminish my elegant figure!;Oh。。。我头上的冰淇淋帽子都融化了，但愿不会影响我优雅的形象。;Oh。。。我头上的冰淇淋帽子都融化了，但愿不会影响我优雅的形象。;ดูสิ กว่าจะหนีมาได้\nหมวกไอศครีมละลายหมดแล้ว;;;;;
V100_TUT206_2;7;Oh, right. Legend speaks of this powerful object. I heard it's just on the other side of the city.;Oh,是的，传说中提到的那个强大的东西，我听说就在城市的那一边。;Oh,是的，传说中提到的那个强大的东西，我听说就在城市的那一边。;ตำนานเล่าว่าของวิเศษทรงพลัง\nอยู่ที่อีกฟากหนึ่ง\nของเมืองนี่เอง!;;;;;
V100_TUT206_3;7;You'll need to get a lot more jellies to help you if you want to find it. Let's go!;如果你要找到他，你需要找很多的伙伴一起帮助你，现在去吧！;如果你要找到他，你需要找很多的伙伴一起帮助你，现在去吧！;เราต้องมีกองทัพเจลลี่\nไว้ช่วยหาของวิเศษ!;;;;;
V100_TUT207_1;6,7;From the most simple labor you can experience an extraordinary life.;从最平凡的劳动中体会最不平凡的生命。;从最平凡的劳动中体会最不平凡的生命。;หนุ่มชาวสวนจะพาคุณ\nไปพบประสบการณ์\nที่แปลกใหม่!;;;;;
V100_TUT207_2;7;You'll need to overcome many hurdles if you want to find this object. You'll need to be determined and full of confidence!;如果你要找它，需要经历许多挫折，你需要有坚强的意志和信心！;如果你要找它，需要经历许多挫折，你需要有坚强的意志和信心！;เราต้องมีจิตใจแน่วแน่\nในการที่จะหาของวิเศษ\nเพื่อช่วยเหล่าเจลลี่!;;;;;
V100_TUT208_1;7;Oh yeah! Even though I'm in a cage, I can still enjoy my tasty fruit juice!;Oh yeah! 虽然是在笼子里，但也不会影响我喝果汁的心情！;Oh yeah! 虽然是在笼子里，但也不会影响我喝果汁的心情！;55 แม้จะโดนขังกรง\nแต่เราก็ยังดื่ม\nน้ำผลไม้ได้อยู่นะ!;;;;;
V100_TUT208_2;7;It's important to keep a positive attitude. It'll be much easier to find the object that way!;如果你要找到它，一定要保持乐观的态度，它会更容易进入你的内心！;如果你要找到它，一定要保持乐观的态度，它会更容易进入你的内心！;หากอยากหาของวิเศษเจอ\nเราก็ต้องอดทนเข้าไว้!;;;;;
V100_TUT209_1;7;Money isn't important. What's important is that you find it, as it is far more precious than any amount of money.;赚钱不是最重要的，重要的是你要找到它，那将比金钱贵重无数倍。;赚钱不是最重要的，重要的是你要找到它，那将比金钱贵重无数倍。;ของวิเศษมีค่ากว่าเงินหลายเท่า\nรีบไปหากันเถอะ!;;;;;
V100_TUT214_1;7;Arrr, a pirate I be! A jelly pirate! Sailin' toward freedom!;我是海盗，我是果冻海盗！我要航行去寻找自由！;我是海盗，我是果冻海盗！我要航行去寻找自由！;อ้า ดูสิ ฉันเหมือนกัปตันเรือไหม ไปกันเรา ล่องไปสู่อิสรภาพ!;;;;;
V100_TUT214_2;7;Wow, it's a beach! I finally have a chance to rest for a bit... I better stay out of that hot sun though!;噢天哪，这是一个海滩，我终于可以休息一会了。恩，防晒也很重要。;噢天哪，这是一个海滩，我终于可以休息一会了。恩，防晒也很重要。;ว้าว ชายหาด ในที่สุดฉันก็ได้หยุดพักแล้ว แต่ว่าต้องหลบแดดหน่อยละ!;;;;;
;;;;;;;;;;
;;;;;;;;;;
V110_MAP_NAME1;1,2;Fridge;冰箱;冰箱;ตู้เย็น;;;;;
V110_MAP_NAME2;1,2;Table;餐桌;餐桌;โต๊ะอาหาร;;;;;
V110_MAP_NAME3;1,2;Kitchen;橱柜;橱柜;ห้องครัว;;;;;
V110_MAP_NAME4;1,2;Hallway;走廊;走廊;โถงทางเดิน;;;;;
V110_MAP_NAME5;1,2;Foyer;门厅;门厅;โถงทางเข้า;;;;;
V110_MAP_NAME6;1,2;Porch;门廊;门廊;เฉลียงหน้าบ้าน;;;;;
V110_MAP_NAME7;1,2;Garden;花园;花园;สวนดอกไม้;;;;;
V110_MAP_NAME8;1,2;Street;街道;街道;ถนน;;;;;
V110_MAP_NAME9;1,2;Shopping Street;商业街;商业街;ฟุตบาท;;;;;
V110_MAP_NAME10;1,2;Toy Store;玩具店;玩具店;ร้านขายของเล่น;;;;;
V110_MAP_NAME11;1,2;Chinatown;唐人街;唐人街;ไชน่าทาวน์;;;;;
V110_MAP_NAME12;1,2;Jelly Cafe;果冻咖啡馆;果冻咖啡馆;ร้านกาแฟเจลลี่;;;;;
V110_MAP_NAME13;1,2;Beach;海滩;海滩;ชายหาด;;;;;
V110_MAP_NAME14;1,2;Sailing Boat;帆船;帆船;เรือใบ;;;;;
V110_MAP_NAME15;1,2;Football Field;足球场;足球场;เรือใบ;;;;;
V110_MAP_NAME16;1,2;Mexicana;墨西哥;墨西哥;เรือใบ;;;;;
V110_JELLY_NAME1;8,6;Tim Tomato;面包仔;面包仔;ขนมปังน้อย;;;;;
V110_JELLY_NAME2;8,6;Dimple Donut;吃货;吃货;จอมตะกละ;;;;;
V110_JELLY_NAME3;8,6;Frenchie;厨子;厨子;พ่อครัว;;;;;
V110_JELLY_NAME4;8,6;Miss Wobbly;小可爱;小可爱;สาวน้อยน่ารัก;;;;;
V110_JELLY_NAME5;8,6;Mister Bean;雨人;雨人;มนุษย์ฝน;;;;;
V110_JELLY_NAME6;8,6;Sewing Sally;主妇;主妇;แม่บ้าน;;;;;
V110_JELLY_NAME7;8,6;Farmer Joe;园丁;园丁;หนุ่มชาวสวน;;;;;
V110_JELLY_NAME8;8,6;Blubber Boy;果汁男;果汁男;หนุ่มน้ำผลไม้;;;;;
V110_JELLY_NAME9;8,6;Max;老板娘;老板娘;คัพเค้ก;;;;;
V110_JELLY_NAME10;8,6;Halloweenie;恐龙蛋;恐龙蛋;แม็กซ์;;;;;
V110_JELLY_NAME11;8,6;Lily Lantern;春丽;春丽;ชุนลี่;;;;;
V110_JELLY_NAME12;8,6;Gogh;梵高;梵高;แวนโก๊ะ;;;;;
V110_JELLY_NAME13;8,6;Fatty Boy;肥仔;肥仔;อ้วนกลม;;;;;
V110_JELLY_NAME14;8,6;Pirate;海盗;海盗;;;;;;
V110_JELLY_NAME15;8,6;Football Fanatic;球仔;球仔;;;;;;
V110_JELLY_NAME16;8,6;Mariachi Man;吉他男;吉他男;;;;;;
;;;;;;;;;;
V100_FREEGEMS;1;Free Gems;免费金币;免费金币;เหรียญทองฟรี;;;;;
V100_BESTSCORE;7;Best score;历史最高分;历史最高分;คะแนนสูงสุด;;;;;
V100_SCORE;6;score;分数;分数;คะแนน;;;;;
V100_YOUWIN;2;YOU WIN!;赢啦！;赢啦！;ชนะแล้ว !;;;;;
V100_LOSEINFO;7;You did not rescue all your friends!;你没有救出所有的小伙伴！;你没有救出所有的小伙伴！;คุณไม่ได้ช่วยเจลลี่ออกมาทั้งหมด!;;;;;
V100_NEWVERSION;6;New Version is available!;有新的版本哟！;有新的版本哟！;เวอร์ชั่นใหม่มาแล้วนะ!;;;;;
V100_DOWNLOAD;2;DOWNLOAD;马上下载;马上下载;รีบดาวน์โหลด;;;;;
;;;;;;;;;;
V140_PULL_LEVER;2;Pull the lever!;点击拉杆开始！;点击拉杆开始！;โยกคันบังคับเพื่อเริ่มต้น;;;;;
V140_SPIN_TITLE;1;SPIN AND WIN!;试试手气吧！;试试手气吧！;วัดดวงของคุณดู;;;;;
V140_SPINTIMES_(D);6;Spins: %d;剩余%d次;剩余%d次;เหลือ%dครั้ง;;;;;
V140_MORESPIN_(D);2;GET MORE SPINS! %d;     再 爽 一 把！  %d;     再 爽 一 把！  %d;หมุนอีกครั้ง! %d;;;;;
V140_PRIZE_LIST;2;PRIZE LIST;奖励列表;奖励列表;ตารางรางวัล;;;;;
V140_PRIZE_LIST_BUTTON;5;Prize List;奖励列表;奖励列表;ตารางรางวัล;;;;;
V140_NO_SPIN;6;No more spins. Buy some more to test out your luck?;Spin 用完了，是否购买一些试试运气?;Spin 用完了，是否购买一些试试运气?;ไม่สามารถหมุนต่อได้\nซื้อการหมุนเพิ่ม?;;;;;
V140_SPIN_SHARE;1;SHARE;分享;分享;แชร์;;;;;
V140_YOU_WON;2;You Won!;恭喜获得;恭喜获得;คุณได้รางวัล!;;;;;
V140_CONNECTFB_TIP;6;See how your friends are doing! Connect to Facebook!;;;มาดูซิว่าเพื่อนของคุณเป็นไงมั่ง เชื่อมต่อเฟสบุ๊คเลย!;;;;;
V140_FB_NEED;6;Asked for help;;;ขอความช่วยเหลือ;;;;;
V140_FB_GIFT;6;Sent you a life;;;ส่งชีวิตเพิ่มให้;;;;;
V140_COUNT_UNLIMIT;9;∞;∞;∞;∞;;;;;
V140_REFILL_LIFE_(D);2;REFILL FOR %d;花费 %d;花费 %d;เพิ่ม%d;;;;;
V140_(D)DAY_(D)HOUR;6;%dD %dH;%d天%d小时;%d天%d小时;%dD %dH;;;;;
V140_LEVEL(D)_UNLOCK;2;Level %d unlock;第%d关解锁;第%d关解锁;;;;;;
;;;;;;;;;;
V140_IAP_GOLD_BONUS;2;;累计充值送金币啦;累计充值送金币啦;สะสมยอดการเติมเงินเพื่อรับเหรียญ;;;;;
V140_HAS_PURCHASED;7;;现在已充;现在已充;ตอนนี้ได้ทำการเติมเงินแล้ว;;;;;
V140_HAS_GETED;7;;已领取;已领取;ได้รับแล้ว;;;;;
V140_GET_NOW;7;;立即领取;立即领取;รับทันที;;;;;
V140_NEED_NUM_TO_GET;7;;再充%d   可领;再充%d   可领;เติมเพิ่มอีก%dเพื่อรับ;;;;;
V140_BONUS_END;7;;距活动结束还有:;距活动结束还有:;จากจุดสิ้นสุดยังเหลือ :;;;;;
V140_DAY_HOUR;5,6,7;;天小时;天小时;วัน ชั่วโมง;;;;;
V140_BUY_NOW;1;;立即充值;立即充值;เติมเงินทันที;;;;;
V140_GREAT;1;;太棒了;太棒了;สุดยอด;;;;;
V140_CONGRATULATION_GET;4;;恭喜你已成功领取;恭喜你已成功领取;ยินดีด้วยคุณได้รับสำเร็จแล้ว;;;;;
V140_GREAT_NOW;1;;太棒了!;太棒了!;สุดยอดจริงๆ!;;;;;
V140_STAR_BONUS;7;;星星奖励;星星奖励;รางวัลดวงดาว;;;;;
V140_PURCHASE_BONUS;7;;充值奖励;充值奖励;รางวัลการเติมเงิน;;;;;
V140_5_DISCOUNT;7;;5折;5折;ลด50%;;;;;
V140_GETREWARD;1,4,2;;领取奖励;领取奖励;รับรางวัล;;;;;
V140_GETSTAR_CANEARN;6;;获得 %d 颗星星可领取:;获得 %d 颗星星可领取:;ได้รับดวงดาว %d ดวงรับได้ตอนนี้เลย;;;;;
V140_THANKS_FOR_UNLIMITLIFE;2;;谢谢你,送你无限生命!;谢谢你,送你无限生命!;ขอบคุณที่ส่งพลังงานไร้ขีดจำกัดมาให้!;;;;;
V140_THANKS_FOR_SUPPORT;7;;感谢你对游戏的支持,;感谢你对游戏的支持,;ขอบคุณที่สนับสนุนเกมเรา!;;;;;
V140_FREE_UPGRADE;7;;我们免费为你升级到;我们免费为你升级到;พวกเราทำการอัพเกรตให้คุณฟรีถึง;;;;;
V140_HAVE_GOOD_FEELING;7;;希望你可以享受这畅快的游戏体验!;希望你可以享受这畅快的游戏体验!;หวังว่าคุณสามารถเพลิดเพลินไปกับประสบการณ์การเล่นเกมนี้!;;;;;
V140_UNLIMIT_LIFE_DISCOUNT;2;;无限生命限时促销来啦!;无限生命限时促销来啦!;การลดราคาจำกัดเวลาของพลังงานไร้ขีดเริ่มขึ้นแล้ว!;;;;;
V140_ONLY_NEED_IN_DISCOUNT_TIME;6;;促销期间只要;促销期间只要;ระยะเวลาของโปรโมชั่น;;;;;
V140_CAN_GET_UNLIMIT_LIFE;6;;即可获得永久无限生命!;即可获得永久无限生命!;ก็จะได้รับพลังงานไร้ขีดจำกัดอย่างถาวร!;;;;;
;;;;;;;;;;
V140_NO_MESSAGE;6;No messages. Add some friends and start exchanging gifts.;现在没有任何消息，请添加好友一起来送礼物吧。;现在没有任何消息，请添加好友一起来送礼物吧。;ตอนนี้ไม่ข่าวสาร\nกรุณาเพิ่มเพื่อนเพื่อ\nมารับส่งของขวัญกัน;;;;;
V150_LOADING_PLAY;1;PLAY;开始游戏;开始游戏;เล่น;;;;;
V150_LOADING_CONNECT;1;CONNECT;连接;连接;เชื่อมต่อ;;;;;
V150_HIGH_SCORE;6;HIGH SCORE;最高分;最高分;คะแนนสูงสุด;;;;;
V150_ASK_FRDS;1;ASK FRIENDS;邀请朋友;邀请朋友;เชิญเพื่อน;;;;;
V150_MESSAGES;1;MESSAGES;消息;消息;ข้อความ;;;;;
V150_CHECK_ALL;2;CHECK ALL;;;ดูทั้งหมด;;;;;
V150_ACCEPT;2;ACCEPT;;;ยอมรับ;;;;;
V150_NEXT;1;NEXT;下一关;下一关;ด่านต่อไป;;;;;
V100_TUT13_1;7;Defeated? Don't worry, this will help you get back on the winning track! Have a try for free!;步数用完了？没关系，续步道具可以让你重新回到游戏！本次使用免费！;步数用完了？没关系，续步道具可以让你重新回到游戏！本次使用免费！;ไม่ผ่านด่านเหรอ? ไม่ต้องกังวล นี่จะช่วยให้คุณเอาชนะได้ง่ายขึ้น! ลองเล่นฟรี!;;;;;
V150_FB_GETLIVES;6;Get more lives by asking your friends on Facebook for help. ;;;เพิ่มชีวิตโดยการ\nขอเพื่อนทางเฟสบุ๊ค\nให้ช่วยคุณ;;;;;
V150_PLAYON_COST;6;Buy 5 extra moves for %d;继续玩花费%d;继续玩花费%d;;;;;;
V150_UPGRADE_TO_UNLIMITLIFE;7;;升级到无限生命!;升级到无限生命!;;;;;;
V150_BOOSTERTIP_HARVEST1GRID;6;Tap any square to use the spoon.;请点击任意一个目标格子来使用勺子;请点击任意一个目标格子来使用勺子;ซุปเปอร์ช้อน:ให้แตะที่ช่องที่คุณต้องการใช้ซุปเปอร์ช้อนเพื่อทำการเริ่มใช้;;;;;
V150_BOOSTERTIP_HARVEST1ROW;6;Tap any space to set off a Cross Squares on that row and column.;请点击要消除的行列;请点击要消除的行列;กากบาท:แตะไปที่แถวที่คุณต้องการจะกำจัด;;;;;
V150_BOOSTERTIP_HARVEST1TYPE;6;Select a jelly of any color, the straw will then be used to rescue all jellies of that color.;请选择任意一个某种颜色的果冻，吸管将会把选中颜色的果冻全部拯救;请选择任意一个某种颜色的果冻，吸管将会把选中颜色的果冻全部拯救;ซุปเปอร์หลอด:เลือกเจลลี่สีที่ต้องการกำจัด แล้วใช้หลอดดูดเพื่อทำการช่วยเหลือ;;;;;
V150_BOOSTERTIP_SHUFFLE;6;Select any two jellies and their positions will be swapped.;请选择两个果冻，把他们交换位置;请选择两个果冻，把他们交换位置;สับเปลี่ยน:เลือกเจลลี่มาสองอัน จากนั้นแตะเพื่อทำการสลับตำแหน่ง;;;;;
V100_TUT103_1;7;"Rescue 5 jellies in an ""L"",""T"", or ""+"" shape to create a Cross Square.";拯救“L”，“T”或者“+”形状的5个个果冻来获得一个十字消格子。;拯救“L”，“T”或者“+”形状的5个个果冻来获得一个十字消格子。;ช่วยเหลือเจลลี่ในแถว L หรือT\nเพื่อกำจัดเจลลี่ทั้งแถว;;;;;
V100_TUT103_2;7;Yeah, a Cross Square! Rescue any jellies on the top for the super rescue!;十字消格子出现了！拯救任何在格子上面的果冻都会触发一个强力的效果！;十字消格子出现了！拯救任何在格子上面的果冻都会触发一个强力的效果！;แถวรูปกากบาทออกมาแล้ว!\nหากช่วยเหลือเจลลี่ใดๆที่อยู่ในกากบาท\nก็จะเกิดพลังอันน่าสะพรึง!;;;;;
V100_TUT104_1;7;Rescue 5 jellies in a row to create a Super Square.;拯救5个一行的果冻来获得一个超级格子。;拯救5个一行的果冻来获得一个超级格子。;ช่วยเจลลี่ 5 ตัว\nที่อยู่ในแถวเดียวกัน\nเพื่อรับช่องพิเศษหนึ่งช่อง;;;;;
V100_TUT104_2;7;Rescue any jellies on the top of the Super Square to see the super power!;拯救任何超级格子上的果冻都会获得一个超级力量！;拯救任何超级格子上的果冻都会获得一个超级力量！;เมื่อช่วยเจลลี่สีใดๆ\nที่อยู่ในช่องพิเศษ\nคุณจะได้รับพลังงานพิเศษ;;;;;
;;;;;;;;;;
V150_FREE_PLAYON;6;Free;本次免费;本次免费;;;;;;
;;;;;;;;;;
V170_DAILYSIGN_BOTTOM;7;If you miss a check-in, your streak will be reset to the first day.\nOnce you have checked in on the 25th day, it will automatically reset to the first day.;如果中间错过签到的话，将会回到第一天重新开始\n完成25天签到后回到第一天重新开始;如果中间错过签到的话，将会回到第一天重新开始\n完成25天签到后回到第一天重新开始;;;;;;
V170_SIGN_BUTTON;1;CHECK-IN;签到;签到;;;;;;
V170_MINUTES_(D);7;%dm;%dm;%dm;;;;;;
V170_MAKEUP_TITLE_(D);2;We haven't seen you for %d days;我们已经%d天\n没有见面了;我们已经%d天\n没有见面了;;;;;;
V170_MAKEUP_TIP_(D);7;Your daily check-in bonus will be reset to day 1.\nOr you can use coins to keep your current progress.;签到奖励将要从第一天重新开始。\n但是你可以用金币来恢复到最近的签到。;签到奖励将要从第一天重新开始。\n但是你可以用金币来恢复到最近的签到。;;;;;;
V170_MAKEUP_(D);2;for start from day %d;    从第%d天开始;    从第%d天开始;;;;;;
V170_MAKEUP_1;2;Start from day 1;从第1天开始;从第1天开始;;;;;;
V170_DAILYBOX_TIP;6;If you make it this far you'll get 3 gold!;如果到达这里就会获得3个金币！;如果到达这里就会获得3个金币！;;;;;;
V170_DAILYBOX_REWARD;6;Congratulations! Here's your 3 gold bonus for today.;恭喜你！这是今天的3个金币奖励;恭喜你！这是今天的3个金币奖励;;;;;;
V150_KAKAO_SENDHEART_TITLE;1;SEND LIFE;赠送生命;赠送生命;;;;;;
V150_KAKAO_SENDHEART_TOP;6;Your friends need lives,send them now!;你的朋友们需要生命，送给他们吧！;你的朋友们需要生命，送给他们吧！;;;;;;
V150_KAKAO_SENDHEART_BOTTOM;7;Touch the Send button to send your friends lives.;点击赠送按钮给朋友们送生命;点击赠送按钮给朋友们送生命;;;;;;
V150_KAKAO_PROFILE_SEND;1;SEND;送体力;送体力;;;;;;
V150_KAKAO_FURTHESTLEVEL_(D);7;level %d;第%d关;第%d关;;;;;;
V150_KAKAO_PROFILE;7;Send Life;赠送生命;赠送生命;;;;;;
V100_BOOSTER_UNLIMITLIFE;1,2,6,7;Unlimited Lives;无限体力;无限体力;;;;;;
V100_NUM;1,2,3,4,5,6,7,8,9;1234567890;1234567890;1234567890;1234567890;;;;;
